Name,Location,City,Phone,Website,Products & Services
Jebel Ali International Hospital,"Bhnd HSBC, Dugas Rd, Jebel Ali Free Zone",Jebel Ali,+97148814000,,Hospitals
Kalba Hospital,Near Kalba Police Station,Kalba,+97192777011,,Hospitals
Karama Medical Centre,"3rd Floor, Above Sony S/Room, Opp Vegetable Market, Karama",Dubai,+97143366889,,"Hospitals, Gynecology and Obstetrics Clinics, Pediatricians Doctors"
Khalifa Hospital,"Near City Centre, Umm Al Quwain Rd",Ajman,+97167439333,,Hospitals
Khorfakkan Hospital,"Near Toyota Round About, Sh Khalid Road",Khorfakkan,+97192370222,,Hospitals
Kuwaiti Hospital,"Bhnd Eppco Petrol Pump, Qadsia",Sharjah,+97165242111,,Hospitals
Landmark Group,"Dana Plaza, Al Madhab",Fujairah,+97192232730,,Hospitals
Life Medical Centre,"1st Flr, Marina Plaza Bldg, Bhnd BHS, Hamdan St",Abu Dhabi,+97126332300,,"Hospitals, General Clinics, Medical Diagnostic and Imaging Services"
Mafraq Hospital,"Bhnd Mafraq Hotel, Baniyas",Abu Dhabi,+97125823100,,Hospitals
Magrabi Hospitals & Centers,"2038, Block E, Al Razi Bldg 64, Dubai Healthcare City",Dubai,+97144370606,,Hospitals
Medcare Hospital,"Near Safa Park, Off Sh Zayed Rd",Dubai,+97144079100,,"Hospitals, General Clinics"
Medcare Hospital LLC,,Dubai,+97144079100,,Hospitals
Medi Clinic Welcare Hospital LLC,"Bhnd Millenium Airport Hotel, Al Garhoud",Dubai,+97142827788,,Hospitals
Moorfields Eye Hospital Dubai,"3rd Flr, Block E, Al Razi Bldg 64, Dubai Health Care City Dist 1",Dubai,+97144297888,,"Hospitals, Optometrist, Ophthalmology Clinics"
N M C Trading LLC,,Abu Dhabi,+97126341134,,Hospitals
Neuro Spinal Hospital,Jumeirah,Dubai,+97143420000,,"Hospitals, Spinal Hospital, Back Pain"
New Al Qassemiya Hospital,"Cricket Stadium Rd, Al Qassimia",Sharjah,+97165386444,,Hospitals
New Fujairah Hospital,"Near Toyota S/Room, Naimiya St",Fujairah,+97192242999,,Hospitals
New Medical Centre Hospital,"1st Flr, HSBC Bldg, King Faisal Rd",Sharjah,+97165536936,,Hospitals
Nmc Specialty Hospital,Al Nahda,Dubai,+97142679999,,Hospitals
Northwest Clinic,"935, Al Wasl Road. Umm Suqeim 2, Jumeirah",Dubai,+97143842000,,Hospitals
Obagi Dermatology And Cosmetic Center,"11th St, Karamah",Abu Dhabi,+97124457100,,Hospitals
Oman Clinic,"Next to Bank Melli Iran, Al Nakheel",Ras Al Khaimah,+97172224403,,Hospitals
Quality Care Medical Center,"Next to Natl Bank of Abu Dhabi, Corniche Rd",Abu Dhabi,+97126260600,,"Hospitals, General Clinics, Pediatricians Doctors"
Royal Hospital,SAIF Zone,Sharjah,+97165452222,,Hospitals
Saif Bin Ghobash Hospital,"Oman Rd, Al Nakheel",Ras Al Khaimah,+97172223555,,Hospitals
Saqr Hospital,"Near RAK Hotel, Clock R/A",Ras Al Khaimah,+97172223666,,Hospitals
Saudi German Hospital,"Hessa St 331, West Barsha, Shk Zayed Rd",Dubai,+97143890000,,Hospitals
Scientific Clinical Laboratories,"Off 111, 1st Flr, Block B, Shk Hamdan Awards Complex, Jumeirah 1",Dubai,+97143586606,,"Hospitals, Clinics, Laboratories Medical"
Sh Khalifa Medical City,"Near Central Hospital, Karama St",Abu Dhabi,+97126102000,,Hospitals
Shaam Hospital,"Shaam Rd, Al Nakheel",Ras Al Khaimah,+97172666465,,Hospitals
Sharjah Corniche Hospital LLC,"Corniche Plaza II, Al Buhairah Corniche",Sharjah,+97165751222,,Hospitals
Singapore National Eye Centre,"11 Third Hospital Avenue, Singapore",International,+9716561009393,,"Hospitals, Eye Hospitals, Lasik"
Specialized Medical Care Hospital,Al Jahili,Al Ain,+97137552291,,"Hospitals, Beauty and Fitness Clinics, Cardiologists Doctors"
"Taher H Khalil Clinic, Dr","Zarouni building, Al Rigga Road, Deira",Dubai,+97142687655,,"Hospitals, Fertility Clinics, General Clinics"
Tawam Hospital,Admin Building Tawam Hospital,Al Ain,+97137075130,,"Hospitals, Hospital Management"
Thumbay Hospital,DIFC,Dubai,+97142985555,,Hospitals
Umm Al Quwain Hospital,"Near Musalla Round About, King Faisal Road",Umm Al Quwain,+97167656888,,Hospitals
Universal Hospital,"Wellness Towers A and B, 5056 Airport Road, Behind Al Hilal Bank",Abu Dhabi,+97125999555,,"Hospitals, Dental, Neurology"
Zulekha Hospital LLC,"Al Zahra St, Al Nasserya",Sharjah,+97165658866,,"Hospitals, Chiropractics Clinics, Corporate Health Packages Clinics"
